iter	Passed	Remaining
1676	3187	613
1677	3189	611
1678	3190	610
1679	3192	608
1680	3193	606
1681	3195	604
1682	3197	602
1683	3199	600
1684	3201	598
1685	3202	596
1686	3204	594
1687	3206	592
1688	3207	590
1689	3209	588
1690	3210	586
1691	3212	584
1692	3214	582
1693	3216	581
1694	3218	579
1695	3220	577
1696	3221	575
1697	3223	573
1698	3225	571
1699	3227	569
1700	3228	567
1701	3231	565
1702	3233	563
1703	3234	561
1704	3236	559
1705	3237	558
1706	3239	556
1707	3241	554
1708	3243	552
1709	3244	550
1710	3247	548
1711	3249	546
1712	3251	544
1713	3252	542
1714	3254	540
1715	3256	538
1716	3257	536
1717	3260	535
1718	3262	533
1719	3264	531
1720	3265	529
1721	3267	527
1722	3269	525
1723	3270	523
1724	3272	521
1725	3273	519
1726	3275	517
1727	3277	515
1728	3279	514
1729	3281	512
1730	3282	510
1731	3284	508
1732	3286	506
1733	3287	504
1734	3289	502
1735	3290	500
1736	3292	498
1737	3295	496
1738	3296	494
